City,Latitude (deg),Longitude (deg),,,,,,,,,,,,,,,,,
London,51.4706,-0.46194,,,,,,,,,,,,,,,,,
Paris,49.0128,2.55,,,,,,,,,,,,,,,,,
Amsterdam,52.3086,4.7639,,,,,,,,,,,,,,,,,
Frankfurt,50.0333,8.5706,,,,,,,,,,,,,,,,,
Madrid,40.4719,-3.5626,,,,,,,,,,,,,,,,,
Barcelona,41.2971,2.0785,,,,,,,,,,,,,,,,,
Munich,48.3538,11.7861,,,,,,,,,,,,,,,,,
Rome,41.8003,12.2389,,,,,,,,,,,,,,,,,
Dublin,53.4213,-6.2701,,,,,,,,,,,,,,,,,
Stockholm,59.6519,17.9186,,,,,,,,,,,,,,,,,
Lisbon,38.7813,-9.1359,,,,,,,,,,,,,,,,,
Berlin,52.5597,13.2877,,,,,,,,,,,,,,,,,
Helsinki,60.3172,24.9633,,,,,,,,,,,,,,,,,
Warsaw,52.1657,20.9671,,,,,,,,,,,,,,,,,
Edinburgh,55.95,-3.3725,,,,,,,,,,,,,,,,,
Bucharest,44.5711,26.085,,,,,,,,,,,,,,,,,
Heraklion,35.3397,25.1803,,,,,,,,,,,,,,,,,
Reykjavik,63.985,-22.6056,,,,,,,,,,,,,,,,,
Palermo,38.1108,13.3133,,,,,,,,,,,,,,,,,
Madeira,32.6979,-16.7745,,,,,,,,,,,,,,,,,
